,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
134,133,521,9.0,0,2129,2018,1,29,2,6,П
24481,452,118,8.0,0,2145,2020,2,17,1,3,Пр.П
18641,613,719,8.0,0,2145,2020,1,13,1,4,Пр.П
72422,283,11,7.0,0,2113,2019,6,11,2,2,У
79791,576,37,8.0,0,2161,2019,12,23,1,4,Пр.Л
25863,19,892,9.0,0,2145,2020,2,16,1,4,Пр.П
804,383,964,10.0,0,2129,2018,1,24,2,19,П
36280,638,655,10.0,0,2161,2020,4,13,1,4,Пр.Л
29360,533,435,8.0,0,2145,2020,3,27,1,3,Пр.П
18553,595,273,8.0,0,2145,2020,1,24,1,5,Пр.П
100934,635,577,12.0,0,2065,2021,2,20,2,18,Р
65474,222,506,7.0,0,2113,2019,1,19,2,3,У
63163,16,261,13.0,0,2129,2020,10,13,2,16,П
11863,376,97,8.0,0,2113,2018,8,6,2,6,У
18694,623,833,8.0,0,2145,2020,1,13,1,4,Пр.П
57882,162,40,9.0,0,2145,2020,9,29,1,3,Пр.П
87257,454,942,1518.0,1520,2097,2021,1,30,1,3,Суж
34672,584,271,8.0,0,2161,2020,4,12,1,4,Пр.Л
80242,645,430,10.0,0,2113,2019,12,12,2,3,У
74721,586,505,1529.0,1520,2081,2019,7,26,2,7,Уш
52054,391,486,7.0,0,2113,2020,8,31,2,2,У
73312,649,154,10.0,-18,2113,2019,6,8,2,3,У
99986,25,709,11.0,0,2129,2021,2,22,2,18,П
98057,271,261,8.0,0,2145,2021,2,22,1,3,Пр.П
32042,308,810,7.0,0,2113,2020,4,10,2,2,У
647,119,293,7.0,0,2113,2018,1,26,2,3,У
55555,5,305,8.0,0,2161,2020,8,28,1,3,Пр.Л
43344,463,435,8.0,0,2161,2020,6,26,1,4,Пр.Л
29137,419,710,8.0,0,2161,2020,3,27,1,6,Пр.Л
87323,472,857,1518.0,1520,2097,2021,1,30,1,2,Суж
96061,557,501,9.0,0,2129,2021,2,21,2,20,П
91524,637,134,7.0,0,2129,2021,1,29,1,7,П
95387,41,599,1526.0,1520,2081,2021,2,19,1,2,Уш
33970,256,202,10.0,0,2129,2020,4,14,2,15,П
50866,620,297,8.0,0,2145,2020,7,27,1,4,Пр.П
27481,544,485,9.0,0,2161,2020,3,25,1,6,Пр.Л
73409,631,621,21.0,0,2065,2019,6,3,2,21,Р
27842,603,795,11.0,0,2161,2020,3,25,2,4,Пр.Л
79145,172,299,11.0,0,2145,2019,12,22,2,5,Пр.П
36657,25,947,8.0,0,2161,2020,5,29,1,5,Пр.Л
56029,4,63,8.0,0,2161,2020,8,23,1,3,Пр.Л
58371,599,254,9.0,0,2161,2020,9,30,1,3,Пр.Л
35426,618,659,9.0,0,2161,2020,4,12,1,5,Пр.Л
71790,544,258,16.0,0,2161,2019,5,22,2,3,Пр.Л
37496,485,15,10.0,0,2145,2020,5,30,1,5,Пр.П
76585,473,719,7.0,0,2113,2019,9,13,2,3,У
3319,340,68,8.0,0,2113,2018,3,18,2,8,У
57516,319,1049,10.0,0,2129,2020,9,29,2,5,П
89228,303,229,1518.0,1520,2097,2021,1,31,1,4,Суж
52458,63,750,9.0,0,2145,2020,8,30,1,3,Пр.П
76496,264,244,7.0,0,2113,2019,9,12,2,2,У
856,535,397,8.0,0,2113,2018,1,23,2,2,У
54265,320,890,8.0,0,2161,2020,8,27,1,3,Пр.Л
35240,2,323,10.0,0,2161,2020,4,28,1,3,Пр.Л
87560,527,868,1516.0,1520,2097,2021,1,30,1,4,Суж
54640,159,885,8.0,0,2145,2020,8,28,1,4,Пр.П
46695,106,523,8.0,0,2145,2020,7,30,1,4,Пр.П
24079,151,684,8.0,0,2161,2020,2,18,1,5,Пр.Л
97296,518,300,8.0,0,2129,2021,2,21,1,8,П
56211,624,649,7.0,0,2113,2020,8,31,2,2,У
3904,596,365,9.0,0,2129,2018,3,18,2,19,П
93133,344,200,1527.0,1520,2081,2021,2,20,1,2,Уш
38014,621,543,8.0,0,2161,2020,5,25,1,5,Пр.Л
35664,646,778,8.0,0,2145,2020,4,12,1,3,Пр.П
71259,497,360,8.0,-65,2113,2019,5,20,2,4,У
10182,532,191,7.0,0,2113,2018,7,19,2,3,У
58702,49,70,8.0,0,2145,2020,9,29,1,3,Пр.П
883,562,983,1515.0,1520,2097,2018,1,23,2,5,Суж
88620,286,967,1516.0,1520,2097,2021,1,31,2,3,Суж
40758,618,575,8.0,0,2145,2020,5,26,1,5,Пр.П
25007,635,381,10.0,0,2161,2020,2,27,1,4,Пр.Л
90038,65,324,11.0,0,2065,2021,1,31,1,22,Р
21338,614,9,10.0,0,2161,2020,1,17,1,4,Пр.Л
71015,101,973,7.0,0,2113,2019,5,18,2,3,У
67362,414,202,10.0,0,2129,2019,2,21,2,16,П
15292,14,882,13.0,0,2129,2018,10,24,2,17,П
24882,614,156,8.0,0,2145,2020,2,27,1,6,Пр.П
25439,622,85,8.0,0,2145,2020,2,23,1,5,Пр.П
55737,33,805,8.0,0,2113,2020,8,19,2,3,У
9119,2,334,11.0,0,2065,2018,7,16,2,16,Р
28866,306,49,8.0,0,2145,2020,3,28,1,5,Пр.П
16129,331,43,7.0,0,2113,2018,11,18,2,2,У
53991,463,467,9.0,0,2161,2020,8,27,1,3,Пр.Л
31515,15,982,8.0,0,2145,2020,4,10,1,3,Пр.П
78827,24,325,8.0,0,2145,2019,12,22,1,4,Пр.П
88527,285,618,1516.0,1520,2097,2021,1,31,2,3,Суж
51989,365,765,9.0,0,2161,2020,8,31,1,4,Пр.Л
61092,649,943,10.0,0,2161,2020,9,25,1,5,Пр.Л
57036,21,520,11.0,0,2129,2020,8,19,2,5,П
7251,545,353,9.0,0,2129,2018,5,20,2,6,П
34391,507,40,8.0,0,2161,2020,4,13,1,5,Пр.Л
88490,285,224,1517.0,1520,2097,2021,1,31,1,16,Суж
83808,305,780,6.0,0,2161,2021,1,27,1,3,Пр.Л
69589,51,857,1529.0,1520,2081,2019,3,14,2,1,Уш
83082,648,312,8.0,0,2145,2019,12,12,1,3,Пр.П
20268,611,811,1529.0,1520,2081,2020,1,17,2,2,Уш
15741,496,669,7.0,-66,2113,2018,11,24,2,3,У
35406,613,876,8.0,0,2161,2020,4,12,1,4,Пр.Л
10324,620,777,11.0,0,2129,2018,7,19,2,5,П
26845,187,715,8.0,0,2161,2020,3,24,1,4,Пр.Л
98959,230,727,8.0,0,2129,2021,2,22,1,15,П
41870,187,532,7.0,0,2113,2020,6,29,2,2,У
53447,637,592,8.0,0,2145,2020,8,24,1,6,Пр.П
91741,24,146,10.0,0,2161,2021,1,25,1,5,Пр.Л
1938,43,991,8.0,0,2113,2018,2,27,2,3,У
92633,252,821,1518.0,1520,2097,2021,2,19,1,6,Суж
45605,643,706,9.0,0,2129,2020,6,26,2,4,П
61927,12,37,9.0,0,2145,2020,9,20,1,6,Пр.П
65655,465,107,7.0,0,2113,2019,1,20,2,2,У
69732,18,71,7.0,0,2113,2019,4,17,2,2,У
93046,326,296,1528.0,1520,2081,2021,2,20,2,4,Уш
2544,576,402,8.0,0,2113,2018,2,22,2,4,У
91518,637,56,10.0,0,2065,2021,1,29,1,19,Р
39036,455,892,7.0,0,2113,2020,5,26,2,2,У
54976,620,436,9.0,0,2161,2020,8,24,1,5,Пр.Л
95930,635,253,1516.0,1520,2097,2021,2,22,1,2,Суж
31187,637,877,8.0,0,2161,2020,3,26,1,4,Пр.Л
48712,357,994,8.0,0,2145,2020,7,27,1,4,Пр.П
46516,320,4,10.0,0,2129,2020,7,30,2,6,П
21463,631,115,9.0,0,2161,2020,1,17,1,3,Пр.Л
83249,434,445,1525.0,1520,2081,2021,1,28,1,2,Уш
27449,527,252,9.0,0,2161,2020,3,25,1,3,Пр.Л
73295,645,514,11.0,0,2161,2019,6,8,2,3,Пр.Л
100557,51,504,1526.0,1520,2081,2021,2,15,1,5,Уш
28666,152,853,7.0,0,2113,2020,3,28,2,2,У
57597,346,622,8.0,0,2145,2020,9,30,1,3,Пр.П
69083,131,648,7.0,0,2113,2019,3,23,2,2,У
90593,5,972,1528.0,1520,2081,2021,1,31,1,2,Уш
66518,25,922,6.0,0,2129,2019,2,16,1,10,П
41595,371,782,11.0,0,2145,2020,6,30,2,4,Пр.П
30669,649,705,10.0,0,2161,2020,3,26,1,4,Пр.Л
39928,650,191,11.0,0,2161,2020,5,26,1,6,Пр.Л
17434,26,269,8.0,0,2161,2020,1,23,1,5,Пр.Л
90790,35,280,9.0,0,2129,2021,1,31,1,19,П
76878,12,449,1529.0,1520,2081,2019,9,18,2,2,Уш
50214,646,522,8.0,0,2145,2020,7,1,1,4,Пр.П
90058,82,934,8.0,0,2129,2021,1,31,1,5,П
43735,274,132,9.0,0,2129,2020,6,27,2,20,П
85127,618,721,10.0,0,2065,2021,1,28,1,18,Р
37414,479,944,9.0,0,2161,2020,5,30,1,3,Пр.Л
9981,171,132,8.0,0,2113,2018,7,20,2,3,У
97664,381,81,1527.0,1520,2081,2021,2,21,1,7,Уш
2357,405,165,8.0,0,2113,2018,2,22,2,4,У
2783,614,3,11.0,0,2129,2018,2,19,2,11,П
95298,25,15,10.0,0,2129,2021,2,19,1,20,П
101005,11,879,12.0,0,2129,2021,2,15,1,8,П
36840,112,531,7.0,0,2113,2020,5,29,2,2,У
81055,365,767,8.0,0,2145,2019,12,17,1,4,Пр.П
49626,612,496,8.0,0,2161,2020,7,15,1,5,Пр.Л
11746,283,320,9.0,0,2129,2018,8,7,2,20,П
60455,600,749,9.0,0,2161,2020,9,26,1,4,Пр.Л
90351,630,527,13.0,0,2065,2021,1,30,1,20,Р
64924,16,75,11.0,0,2065,2020,12,29,2,20,Р
98629,181,460,8.0,0,2129,2021,2,22,1,13,П
55716,50,891,8.0,0,2145,2020,8,28,1,3,Пр.П
38422,15,209,8.0,0,2161,2020,5,27,1,3,Пр.Л
42746,622,110,11.0,0,2161,2020,6,20,2,3,Пр.Л
44709,109,564,9.0,0,2145,2020,6,27,1,4,Пр.П
20992,646,912,10.0,0,2145,2020,1,25,1,4,Пр.П
49745,606,304,12.0,0,2161,2020,7,27,2,6,Пр.Л
31266,645,488,10.0,0,2145,2020,3,26,1,3,Пр.П
4232,256,508,10.0,0,2113,2018,3,23,2,3,У
94408,241,747,7.0,0,2129,2021,2,19,1,11,П
86334,638,919,13.0,0,2065,2021,1,28,1,19,Р
94516,53,471,9.0,0,2065,2021,2,19,1,17,Р
36635,24,529,8.0,0,2161,2020,5,29,1,4,Пр.Л
76736,590,348,1515.0,1520,2097,2019,9,13,2,3,Суж
1549,433,208,7.0,0,2113,2018,2,16,2,3,У
66319,621,937,11.0,0,2129,2019,1,22,2,16,П
21147,12,496,8.0,0,2145,2020,1,16,1,4,Пр.П
93470,398,654,7.0,0,2129,2021,2,20,1,16,П
80827,187,957,9.0,0,2145,2019,12,18,1,4,Пр.П
38939,365,680,10.0,0,2145,2020,5,26,1,3,Пр.П
41344,260,760,8.0,0,2113,2020,6,29,2,3,У
89884,234,955,1518.0,1520,2097,2021,1,31,1,4,Суж
42720,26,991,8.0,0,2145,2020,6,29,1,3,Пр.П
86432,553,814,1518.0,1520,2097,2021,1,30,1,4,Суж
77803,94,650,8.0,0,2113,2019,10,23,2,7,У
40826,625,676,8.0,0,2145,2020,5,26,1,4,Пр.П
100318,40,858,1525.0,1520,2081,2021,2,15,1,3,Уш
13931,85,293,7.0,0,2113,2018,10,20,2,3,У
5903,94,117,8.0,0,2113,2018,4,18,2,2,У
94942,442,115,1525.0,1520,2081,2021,2,20,1,3,Уш
60691,5,342,9.0,0,2161,2020,9,27,1,3,Пр.Л
23837,44,86,9.0,0,2145,2020,2,18,1,5,Пр.П
99964,24,313,25.0,0,2065,2021,2,22,2,24,Рст
16540,3,913,1515.0,1520,2097,2018,12,16,2,2,Суж
1384,341,253,7.0,0,2113,2018,2,16,2,3,У
46890,187,986,9.0,0,2161,2020,7,30,1,3,Пр.Л
578,63,700,7.0,0,2113,2018,1,26,2,6,У
83269,436,826,7.0,0,2129,2021,1,28,1,14,П
10630,16,57,9.0,0,2129,2018,8,14,2,12,П
88748,290,889,1516.0,1520,2097,2021,1,31,2,3,Суж
22824,484,179,10.0,0,2161,2020,2,23,1,4,Пр.Л
60761,16,157,9.0,0,2129,2020,9,27,2,17,П
69239,390,974,10.0,0,2113,2019,3,22,2,7,У
47302,590,526,1515.0,1520,2097,2020,7,1,2,2,Суж
46188,544,649,8.0,0,2145,2020,7,31,1,4,Пр.П
22914,519,704,8.0,0,2145,2020,2,23,1,3,Пр.П
29049,370,660,8.0,0,2161,2020,3,27,1,4,Пр.Л
690,141,688,7.0,0,2113,2018,1,26,2,3,У
23540,646,509,11.0,0,2129,2020,2,25,2,12,П
63890,168,251,7.0,0,2113,2020,12,30,2,6,У
48808,269,609,9.0,0,2129,2020,7,28,2,8,П
3416,371,700,7.0,0,2113,2018,3,18,2,2,У
13705,12,526,13.0,0,2129,2018,9,1,2,20,П
4688,544,550,9.0,0,2129,2018,3,22,2,10,П
54119,506,999,8.0,0,2161,2020,8,27,1,4,Пр.Л
40171,621,92,8.0,0,2161,2020,5,30,1,4,Пр.Л
21701,649,164,9.0,0,2145,2020,1,28,1,3,Пр.П
20127,586,546,8.0,0,2145,2020,1,17,1,3,Пр.П
96192,569,120,7.0,0,2129,2021,2,21,1,10,П
77130,322,558,11.0,0,2161,2019,9,17,2,6,Пр.Л
44675,611,841,1529.0,1520,2081,2020,6,26,2,2,Уш
63681,263,995,8.0,0,2113,2020,12,30,2,5,У
50198,645,773,8.0,0,2145,2020,7,1,1,4,Пр.П
78393,480,151,7.0,0,2113,2019,10,18,2,3,У
77204,463,593,7.0,0,2113,2019,9,17,2,3,У
9543,436,794,11.0,0,2161,2018,7,19,2,4,Пр.Л
97959,257,417,9.0,0,2161,2021,2,22,2,3,Пр.Л
11529,92,84,9.0,0,2129,2018,8,7,2,5,П
4367,360,350,7.0,0,2113,2018,3,22,2,2,У
83614,269,257,13.0,0,2065,2021,1,27,2,19,Р
23110,583,936,9.0,0,2129,2020,2,23,2,11,П
79408,356,309,7.0,0,2113,2019,12,23,2,2,У
71935,645,185,11.0,0,2145,2019,5,22,2,4,Пр.П
45561,639,954,8.0,0,2161,2020,6,26,1,3,Пр.Л
35373,611,160,8.0,0,2161,2020,4,12,1,4,Пр.Л
75212,119,91,8.0,0,2113,2019,8,27,2,4,У
71706,371,792,7.0,0,2113,2019,5,23,2,2,У
56304,635,645,8.0,0,2145,2020,8,31,1,4,Пр.П
8115,154,99,17.0,0,2065,2018,6,17,2,28,Р
97336,531,777,7.0,0,2129,2021,2,21,1,9,П
54729,183,467,8.0,0,2145,2020,8,28,1,3,Пр.П
9801,1,809,1519.0,1524,2097,2018,7,21,2,2,Суж
73268,621,456,11.0,0,2129,2019,6,8,2,20,П
18686,621,1007,8.0,0,2145,2020,1,13,1,6,Пр.П
99124,54,419,1525.0,1520,2081,2021,2,22,1,3,Уш
8286,515,805,7.0,0,2113,2018,6,19,2,2,У
97840,391,428,9.0,0,2129,2021,2,21,1,19,П
39675,621,325,9.0,0,2145,2020,5,26,1,4,Пр.П
94539,62,996,11.0,0,2065,2021,2,19,1,23,Р
96908,478,313,16.0,0,2065,2021,2,21,2,23,Р
44071,77,277,7.0,0,2113,2020,6,27,2,2,У
85301,582,214,7.0,0,2129,2021,1,28,1,16,П
50040,26,918,8.0,0,2161,2020,7,28,1,3,Пр.Л
50594,635,449,7.0,0,2113,2020,7,1,2,2,У
21588,639,347,9.0,0,2161,2020,1,17,1,3,Пр.Л
15662,320,596,9.0,0,2129,2018,11,24,2,15,П
31634,53,350,9.0,0,2161,2020,4,10,1,4,Пр.Л
59911,181,475,9.0,0,2161,2020,9,27,1,5,Пр.Л
8700,448,919,7.0,0,2113,2018,6,20,2,5,У
64993,26,839,16.0,0,2065,2020,12,29,2,28,Р
76017,595,167,9.0,0,2129,2019,8,19,2,6,П
23303,620,315,8.0,0,2145,2020,2,25,1,3,Пр.П
37303,364,863,8.0,0,2161,2020,5,30,1,4,Пр.Л
91441,631,547,9.0,0,2065,2021,1,29,1,16,Р
10762,133,459,9.0,0,2129,2018,8,14,2,8,П
58033,53,955,8.0,0,2145,2020,9,29,1,6,Пр.П
7492,84,693,7.0,0,2113,2018,5,30,2,2,У
34231,400,17,9.0,0,2161,2020,4,13,1,5,Пр.Л
29567,585,44,8.0,0,2161,2020,3,27,1,5,Пр.Л
2495,545,821,1529.0,1520,2081,2018,2,22,2,2,Уш
87742,345,293,9.0,0,2065,2021,1,30,1,17,Р
19349,151,990,9.0,0,2161,2020,1,19,1,3,Пр.Л
80119,633,956,8.0,0,2145,2019,12,12,1,3,Пр.П
10650,21,991,7.0,0,2113,2018,8,14,2,3,У
11040,452,199,8.0,0,2113,2018,8,14,2,2,У
28146,646,145,8.0,0,2145,2020,3,25,1,4,Пр.П
82463,647,454,8.0,0,2161,2019,12,24,1,5,Пр.Л
66057,335,898,10.0,0,2113,2019,1,22,2,4,У
10757,123,130,7.0,0,2113,2018,8,14,2,3,У
39849,645,443,9.0,0,2161,2020,5,26,1,5,Пр.Л
73032,324,845,9.0,0,2129,2019,6,3,2,12,П
13799,1,907,1533.0,1520,2081,2018,10,17,2,1,Уш
23608,650,139,33.0,0,2065,2020,2,25,2,19,Р
27137,357,674,9.0,0,2161,2020,3,25,1,6,Пр.Л
83806,305,771,1528.0,1520,2081,2021,1,27,2,5,Уш
76994,103,241,8.0,0,2113,2019,9,18,2,3,У
77029,129,523,8.0,0,2113,2019,9,18,2,3,У
38837,296,837,8.0,0,2161,2020,5,27,1,3,Пр.Л
38587,82,557,8.0,0,2161,2020,5,27,1,4,Пр.Л
41788,151,403,9.0,0,2145,2020,6,29,1,3,Пр.П
29772,611,742,9.0,0,2161,2020,3,27,1,4,Пр.Л
60565,612,63,8.0,0,2161,2020,9,26,1,4,Пр.Л
63392,2,994,8.0,0,2161,2020,11,19,1,3,Пр.Л
89185,301,933,1518.0,1520,2097,2021,1,31,1,4,Суж
73439,647,566,11.0,0,2129,2019,6,3,2,14,П
44195,630,62,8.0,0,2145,2020,6,22,1,4,Пр.П
70353,149,110,8.0,0,2113,2019,4,27,2,5,У
52309,171,978,7.0,0,2113,2020,8,30,2,3,У
67100,59,757,8.0,0,2113,2019,2,22,2,2,У
49762,608,403,10.0,0,2145,2020,7,27,1,4,Пр.П
12074,591,134,9.0,0,2113,2018,8,4,2,6,У
10102,376,35,8.0,0,2113,2018,7,19,2,3,У
97330,531,541,7.0,0,2129,2021,2,21,1,12,П
10723,109,289,1530.0,1520,2081,2018,8,14,2,6,Уш
62621,632,155,8.0,0,2145,2020,10,15,1,5,Пр.П
20262,611,252,10.0,0,2161,2020,1,17,1,3,Пр.Л
92170,418,793,1525.0,1520,2081,2021,2,20,1,2,Уш
13373,320,860,11.0,0,2129,2018,9,25,2,17,П
25512,633,898,9.0,0,2129,2020,2,23,2,6,П
43853,130,845,8.0,0,2145,2020,6,27,1,3,Пр.П
88873,293,778,1517.0,1520,2097,2021,1,31,1,4,Суж
72535,496,828,8.0,-65,2113,2019,6,13,2,3,У
93071,334,267,7.0,0,2129,2021,2,20,1,13,П
96456,419,454,9.0,0,2161,2021,2,21,2,4,Пр.Л
66705,275,161,7.0,0,2113,2019,2,16,2,2,У
24500,465,830,8.0,0,2145,2020,2,17,1,3,Пр.П
9975,160,828,7.0,0,2113,2018,7,20,2,3,У
77796,88,516,9.0,0,2129,2019,10,23,2,16,П
12478,649,520,11.0,0,2129,2018,8,3,2,19,П
48878,318,395,8.0,0,2145,2020,7,28,1,5,Пр.П
21503,635,953,10.0,0,2145,2020,1,17,1,4,Пр.П
12423,636,102,12.0,0,2145,2018,8,3,2,5,Пр.П
78201,650,158,1539.0,1520,2081,2019,10,21,2,6,Уш
94866,588,642,1517.0,1520,2097,2021,2,20,1,4,Суж
89370,311,161,1517.0,1520,2097,2021,1,31,1,5,Суж
15314,21,164,9.0,0,2113,2018,10,24,2,2,У
75694,97,250,7.0,0,2113,2019,8,20,2,3,У
75299,319,1046,9.0,0,2129,2019,8,27,2,6,П
98401,318,807,1525.0,1520,2081,2021,2,22,1,2,Уш
19306,119,383,8.0,0,2145,2020,1,19,1,4,Пр.П
42188,563,316,8.0,0,2145,2020,6,30,1,4,Пр.П
1570,444,712,7.0,-6,2113,2018,2,16,2,2,У
13154,10,956,9.0,0,2129,2018,9,27,2,14,П
17289,10,381,9.0,0,2145,2020,1,23,1,4,Пр.П
59343,481,765,9.0,0,2161,2020,9,26,1,3,Пр.Л
86467,557,398,1517.0,1520,2097,2021,1,30,1,3,Суж
17904,271,790,7.0,0,2113,2020,1,23,2,2,У
13433,380,777,9.0,0,2113,2018,9,25,2,2,У
29040,367,9,9.0,0,2129,2020,3,27,2,15,П
51207,16,457,9.0,0,2145,2020,7,26,1,3,Пр.П
55937,640,106,7.0,0,2113,2020,8,31,2,2,У
63170,16,337,9.0,0,2145,2020,10,13,1,6,Пр.П
73222,588,166,9.0,0,2129,2019,6,3,2,16,П
18275,489,93,8.0,0,2113,2020,1,24,2,12,У
65102,43,12,8.0,0,2145,2020,12,15,1,3,Пр.П
34063,319,679,9.0,0,2145,2020,4,14,1,3,Пр.П
61595,646,115,9.0,0,2145,2020,9,26,1,3,Пр.П
49622,612,343,9.0,0,2145,2020,7,15,1,4,Пр.П
1430,356,655,7.0,0,2113,2018,2,16,2,3,У
100378,44,335,1528.0,1520,2081,2021,2,15,2,3,Уш
36689,50,396,9.0,0,2129,2020,5,29,2,14,П
10684,49,192,9.0,0,2129,2018,8,14,2,18,П
23168,594,593,7.0,0,2113,2020,2,23,2,2,У
45164,1,25,12.0,0,2145,2020,6,11,1,5,Пр.П
6091,322,779,11.0,0,2129,2018,4,17,2,20,П
21612,641,281,8.0,0,2161,2020,1,17,1,4,Пр.Л
54498,298,284,8.0,0,2161,2020,8,28,1,6,Пр.Л
75530,612,485,11.0,0,2129,2019,8,10,2,19,П
92203,420,930,1525.0,1520,2081,2021,2,20,1,2,Уш
12396,625,741,8.0,0,2113,2018,8,3,2,6,У
76605,513,868,7.0,89,2113,2019,9,13,2,5,У
55422,611,810,11.0,0,2129,2020,8,27,2,15,П
24934,621,758,8.0,0,2161,2020,2,27,1,4,Пр.Л
18122,365,473,8.0,0,2161,2020,1,24,1,6,Пр.Л
8682,417,978,8.0,0,2113,2018,6,20,2,5,У
11409,41,215,8.0,0,2113,2018,8,8,2,3,У
37340,397,996,1529.0,1520,2081,2020,5,30,2,3,Уш
56520,613,621,10.0,0,2161,2020,8,27,1,6,Пр.Л
39505,602,762,9.0,0,2129,2020,5,26,2,14,П
56904,16,18,12.0,0,2145,2020,8,19,1,5,Пр.П
24494,463,425,7.0,0,2113,2020,2,17,2,4,У
60625,115,973,10.0,0,2161,2020,9,27,1,4,Пр.Л
49068,187,901,1530.0,1520,2081,2020,7,28,2,2,Уш
6370,589,153,10.0,0,2129,2018,4,17,2,15,П
15199,42,773,7.0,0,2113,2018,10,24,2,2,У
93955,184,929,1525.0,1520,2081,2021,2,19,1,3,Уш
64768,1,1075,13.0,0,2161,2020,12,29,1,4,Пр.Л
31550,18,233,9.0,0,2129,2020,4,10,2,4,П
16327,584,952,11.0,0,2145,2018,11,18,2,4,Пр.П
56717,631,726,8.0,0,2145,2020,8,27,1,5,Пр.П
25730,649,958,9.0,0,2145,2020,2,26,1,3,Пр.П
19392,162,942,8.0,0,2161,2020,1,19,1,4,Пр.Л
44598,604,348,9.0,0,2161,2020,6,26,1,4,Пр.Л
41272,517,836,9.0,0,2161,2020,6,30,1,3,Пр.Л
51000,635,953,10.0,0,2145,2020,7,27,1,4,Пр.П
12110,609,747,7.0,0,2113,2018,8,4,2,2,У
51833,301,530,7.0,0,2113,2020,8,30,2,2,У
93226,356,550,10.0,0,2145,2021,2,20,2,3,Пр.П
79820,580,173,9.0,0,2145,2019,12,23,1,4,Пр.П
34652,580,212,8.0,0,2161,2020,4,12,1,4,Пр.Л
72678,604,19,9.0,0,2129,2019,6,13,2,19,П
19649,364,74,9.0,0,2145,2020,1,17,1,6,Пр.П
70951,91,532,8.0,0,2113,2019,5,18,2,2,У
41821,163,204,10.0,0,2161,2020,6,29,1,6,Пр.Л
91497,635,586,16.0,0,2065,2021,1,29,3,20,Р
70076,570,657,9.0,0,2129,2019,4,23,2,19,П
12990,586,100,1529.0,1520,2081,2018,9,21,2,2,Уш
19534,306,278,9.0,0,2145,2020,1,19,1,4,Пр.П
74706,577,276,9.0,0,2129,2019,7,26,2,12,П
33035,600,548,9.0,0,2145,2020,4,11,1,4,Пр.П
36518,10,545,9.0,0,2161,2020,5,29,1,5,Пр.Л
38407,11,934,9.0,0,2145,2020,5,27,1,3,Пр.П
8942,649,208,11.0,0,2161,2018,6,22,2,3,Пр.Л
100635,644,93,8.0,0,2129,2021,2,20,1,9,П
55002,624,879,10.0,0,2161,2020,8,24,1,4,Пр.Л
79826,580,593,7.0,0,2113,2019,12,23,2,2,У
30174,3,418,8.0,0,2161,2020,3,17,1,3,Пр.Л
85671,4,173,16.0,0,2065,2021,1,27,2,17,Рст
97828,390,617,1527.0,1520,2081,2021,2,21,1,6,Уш
81771,631,672,12.0,0,2161,2019,12,13,2,3,Пр.Л
99137,54,618,1526.0,1520,2081,2021,2,22,1,5,Уш
80029,613,605,9.0,0,2145,2019,12,12,1,4,Пр.П
35019,632,155,9.0,0,2161,2020,4,12,1,5,Пр.Л
96845,466,186,1526.0,1520,2081,2021,2,21,1,7,Уш
21567,637,906,9.0,0,2145,2020,1,17,1,6,Пр.П
65157,1,698,10.0,0,2161,2020,12,14,1,4,Пр.Л
97531,345,112,1527.0,1520,2081,2021,2,21,1,3,Уш
18420,565,67,7.0,-61,2113,2020,1,24,2,2,У
101139,645,321,9.0,0,2129,2021,2,21,1,11,П
84909,240,900,1526.0,1520,2081,2021,1,27,1,6,Уш
47768,51,824,10.0,0,2145,2020,7,30,1,6,Пр.П
68585,396,478,7.0,6,2113,2019,3,20,2,3,У
63963,189,35,7.0,0,2113,2020,12,30,2,2,У
97204,510,884,1526.0,1520,2081,2021,2,21,1,6,Уш
49994,18,85,8.0,0,2145,2020,7,28,1,5,Пр.П
101543,632,615,10.0,0,2145,2021,2,21,1,6,Пр.П
67604,637,83,1530.0,1520,2081,2019,2,19,2,2,Уш
53808,577,284,8.0,0,2161,2020,8,27,1,3,Пр.Л
46488,297,875,8.0,0,2161,2020,7,30,1,3,Пр.Л
33810,119,181,8.0,0,2145,2020,4,14,1,5,Пр.П
60714,7,898,9.0,0,2145,2020,9,27,1,4,Пр.П
96724,458,896,1526.0,1520,2081,2021,2,21,1,4,Уш
12060,583,116,9.0,0,2129,2018,8,4,2,17,П
91885,620,498,11.0,0,2145,2021,1,29,1,4,Пр.П
27259,454,473,7.0,0,2113,2020,3,25,2,4,У
51967,357,677,7.0,0,2113,2020,8,31,2,2,У
33771,84,417,9.0,0,2145,2020,4,14,1,4,Пр.П
49566,650,109,9.0,0,2145,2020,7,15,1,5,Пр.П
47048,619,43,8.0,0,2161,2020,7,14,1,3,Пр.Л
3313,339,271,11.0,0,2113,2018,3,18,2,4,У
94260,227,51,1517.0,1520,2097,2021,2,19,1,5,Суж
39183,531,161,7.0,0,2113,2020,5,26,2,2,У
101012,12,108,11.0,0,2129,2021,2,15,1,9,П
83121,650,11,13.0,0,2145,2019,12,12,1,3,Пр.П
71506,101,493,9.0,0,2129,2019,5,25,2,11,П
99154,55,102,1526.0,1520,2081,2021,2,22,1,13,Уш
29321,521,795,9.0,0,2145,2020,3,27,1,3,Пр.П
