,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
95243,17,920,11.0,0,2065,2021,2,19,2,16,Р
87772,356,439,7.0,0,2129,2021,1,30,1,4,П
60144,630,116,8.0,0,2161,2020,9,25,1,4,Пр.Л
69765,26,294,11.0,0,2145,2019,4,17,2,5,Пр.П
25171,648,279,11.0,0,2129,2020,2,27,2,14,П
50731,642,649,11.0,0,2161,2020,7,27,2,3,Пр.Л
70166,598,1001,1514.0,1520,2097,2019,4,23,2,4,Суж
69034,57,733,7.0,0,2113,2019,3,23,2,5,У
42787,633,1007,8.0,0,2161,2020,6,20,1,3,Пр.Л
65003,39,417,8.0,0,2113,2020,12,29,2,5,У
30768,16,450,9.0,0,2145,2020,3,17,1,3,Пр.П
53056,603,700,1515.0,1520,2097,2020,8,31,2,4,Суж
90160,646,603,1515.0,1520,2097,2021,1,30,1,2,Суж
7316,585,730,7.0,0,2113,2018,5,20,2,2,У
40313,638,825,19.0,0,2065,2020,5,30,2,24,Р
30042,641,971,8.0,0,2161,2020,3,27,1,3,Пр.Л
70970,93,322,8.0,0,2113,2019,5,18,2,2,У
15875,2,52,16.0,0,2129,2018,11,20,2,14,П
28316,5,377,8.0,0,2145,2020,3,28,1,2,Пр.П
25467,627,963,8.0,0,2145,2020,2,23,1,5,Пр.П
149,160,725,7.0,0,2113,2018,1,29,2,4,У
70369,172,543,8.0,0,2113,2019,4,27,2,2,У
96817,464,584,1526.0,1520,2081,2021,2,21,1,3,Уш
8517,141,681,7.0,0,2113,2018,6,23,2,4,У
49886,4,16,9.0,0,2145,2020,7,28,1,4,Пр.П
89586,160,494,9.0,0,2065,2021,1,31,1,13,Р
1057,635,550,11.0,0,2161,2018,1,22,2,5,Пр.Л
67706,13,584,11.0,0,2129,2019,3,20,2,15,П
75566,1,921,1530.0,1520,2081,2019,8,20,2,5,Уш
39548,608,378,9.0,0,2145,2020,5,26,1,4,Пр.П
28447,26,883,8.0,0,2161,2020,3,28,1,3,Пр.Л
34962,621,25,10.0,0,2161,2020,4,12,1,3,Пр.Л
48729,365,6,7.0,0,2113,2020,7,27,2,2,У
21956,25,947,8.0,0,2161,2020,2,22,1,5,Пр.Л
44286,638,355,8.0,0,2161,2020,6,22,1,4,Пр.Л
84210,398,127,1529.0,1520,2081,2021,1,28,1,4,Уш
66765,326,324,7.0,0,2113,2019,2,17,2,2,У
56507,647,392,8.0,0,2145,2020,8,27,1,5,Пр.П
79250,260,791,7.0,0,2113,2019,12,22,2,2,У
100844,627,229,8.0,0,2129,2021,2,20,1,15,П
44773,4,127,19.0,0,2065,2020,6,27,2,24,Р
6748,43,15,9.0,0,2129,2018,5,19,2,3,П
19078,13,563,9.0,0,2161,2020,1,19,1,3,Пр.Л
66288,605,631,7.0,0,2113,2019,1,22,2,2,У
76186,649,955,1531.0,1520,2081,2019,8,9,2,6,Уш
